COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,,,,,,,,,,,,,,,,,,,,,,,
54,0,4193.846051,4188.205026,4186.153744,4202.051179,4195.897333,4185.640923,4193.333231,4202.564,4200.512718,4217.948615,4200.512718,4189.743487,4224.102461,4188.717846,0,2044,2046,0,0,2454,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,4199.487077,4186.153744,4188.717846,4197.435795,4189.743487,4185.640923,4190.769128,4207.179384,4199.487077,4214.358871,4202.051179,4190.769128,4216.922974,4190.256308,0,2043,2045,0,0,2454,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,4182.564,4184.102462,4188.205026,4193.846051,4192.82041,4186.153744,4190.769128,4209.230666,4198.461436,4215.384512,4201.025538,4188.205026,4214.871692,4186.153744,0,2045,2046,0,0,2454,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,4179.487077,4183.076821,4186.666564,4196.922974,4196.410154,4183.076821,4191.281949,4202.051179,4198.461436,4215.897333,4208.205025,4187.692205,4218.461435,4187.692205,0,2046,2044,0,0,2454,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,4194.358872,4190.256308,4188.717846,4202.051179,4196.922974,4183.076821,4187.692205,4198.461436,4198.461436,4215.384512,4215.897333,4195.384513,4221.538358,4192.30759,0,2045,2044,0,0,2454,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,4191.281949,4196.922974,4189.230667,4202.564,4198.461436,4187.692205,4191.281949,4207.179384,4199.487077,4217.435794,4214.871692,4199.999897,4219.487076,4188.717846,0,2044,2043,0,0,2454,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,4182.05118,4190.769128,4189.230667,4199.999897,4199.487077,4191.281949,4197.948615,4214.871692,4199.487077,4219.999897,4213.846051,4196.410154,4214.871692,4184.102462,0,2044,2045,0,0,2454,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,4186.666564,4184.102462,4191.281949,4199.487077,4193.333231,4188.205026,4192.30759,4210.256307,4199.487077,4214.871692,4216.410153,4192.30759,4209.743487,4185.640923,0,2045,2045,0,0,2454,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,4182.564,4188.205026,4190.256308,4197.948615,4187.692205,4181.538359,4181.538359,4197.435795,4199.487077,4205.128102,4214.871692,4188.205026,4204.615282,4186.666564,0,2047,2045,0,0,2454,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,4176.922975,4190.769128,4186.153744,4194.358872,4188.717846,4180.512718,4184.615282,4195.897333,4193.333231,4198.974256,4211.794769,4189.230667,4201.538359,4185.128103,0,2046,2044,0,0,2454,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
