COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,,,,,,,,,,,,,,,,,,,,,,,
101,0,4444.102455,4374.358867,4295.38451,4378.974252,4339.999894,4333.846048,4294.87169,4330.256304,4235.897332,4304.102459,4220.512717,4311.281946,4314.871689,4296.922972,644,2062,2031,0,0,2407,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,4417.435789,4369.743483,4293.846049,4373.333226,4344.102458,4335.89733,4294.87169,4328.205022,4244.10246,4304.615279,4223.07682,4307.179382,4307.692202,4292.820408,869,2063,2030,0,0,2407,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,4403.076815,4364.102457,4292.820408,4380.512713,4343.589637,4341.025535,4308.717843,4334.358868,4248.717845,4316.410151,4226.666563,4311.794766,4301.538356,4290.256305,241,2064,2030,0,0,2407,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,4414.358866,4366.66656,4294.87169,4385.640918,4342.051176,4340.512714,4309.230664,4341.538355,4247.692204,4327.692202,4222.051179,4312.307587,4305.64092,4290.769126,223,2063,2033,0,0,2407,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,4410.769123,4365.128098,4295.897331,4376.92297,4342.563996,4338.461432,4304.102459,4342.563996,4247.692204,4326.15374,4216.410153,4308.717843,4304.615279,4287.692203,644,2064,2033,0,0,2407,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,4392.307585,4357.435791,4291.794767,4363.076816,4340.512714,4341.538355,4309.743484,4344.615278,4248.205024,4325.128099,4217.435794,4313.333228,4299.999895,4282.051177,869,2063,2036,0,0,2407,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,4389.743482,4356.41015,4286.666562,4359.487073,4339.487073,4346.66656,4314.871689,4342.051176,4245.640922,4323.589638,4215.384512,4310.769125,4291.281946,4280.512716,241,2065,2038,0,0,2407,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,4389.743482,4355.384509,4287.692203,4360.512714,4343.589637,4348.205022,4310.769125,4338.461432,4245.128101,4319.999894,4213.33323,4295.897331,4281.538357,4279.999895,223,2066,2038,0,0,2407,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,4373.846047,4348.205022,4293.333228,4358.974252,4344.102458,4344.102458,4304.615279,4343.589637,4248.205024,4323.076817,4215.384512,4295.897331,4280.512716,4276.410152,644,2064,2041,0,0,2407,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,4355.897329,4346.66656,4296.410151,4355.384509,4343.589637,4342.563996,4306.153741,4345.128099,4249.743486,4326.666561,4215.897333,4304.102459,4286.153741,4272.820408,869,2064,2042,0,0,2407,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
