COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,,,,,,,,,,,,,,,,,,,,,,,
46,0,4184.615282,4246.153742,4197.435795,4212.307589,4200.512718,4197.435795,4213.846051,4169.230667,4186.153744,4179.999898,4197.948615,4168.717847,4121.02554,4182.564,0,2049,2041,0,0,2428,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,4185.640923,4246.666563,4195.897333,4211.281948,4202.564,4203.589641,4214.358871,4171.281949,4186.153744,4184.615282,4198.974256,4168.717847,4121.538361,4183.076821,0,2049,2042,0,0,2428,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,4185.640923,4246.666563,4198.461436,4204.615282,4199.487077,4196.922974,4215.384512,4170.256308,4185.640923,4185.640923,4198.974256,4167.692206,4122.564002,4183.589641,0,2049,2042,0,0,2428,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,4182.05118,4245.128101,4200.512718,4203.07682,4197.948615,4191.794769,4216.922974,4172.820411,4185.640923,4182.05118,4201.025538,4169.743488,4122.051181,4184.102462,0,2050,2043,0,0,2428,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,4178.461436,4246.666563,4201.025538,4211.794769,4203.07682,4197.948615,4219.999897,4178.461436,4186.666564,4184.102462,4203.07682,4172.820411,4123.589643,4185.128103,0,2048,2043,0,0,2428,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,4176.922975,4248.717845,4199.487077,4216.922974,4203.589641,4202.564,4219.999897,4175.384513,4186.153744,4182.05118,4202.564,4171.79477,4123.076822,4181.538359,0,2049,2043,0,0,2428,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,4183.589641,4247.692204,4197.948615,4216.410153,4201.025538,4199.487077,4216.410153,4169.743488,4186.153744,4179.999898,4200.512718,4168.205026,4120.51272,4177.948616,0,2049,2044,0,0,2428,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,4187.692205,4246.153742,4197.435795,4213.33323,4202.564,4200.512718,4214.871692,4171.79477,4186.666564,4183.076821,4200.512718,4167.179385,4119.999899,4181.538359,0,2048,2045,0,0,2428,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,4179.999898,4245.640922,4195.897333,4206.666564,4203.07682,4205.128102,4219.487076,4177.948616,4186.153744,4183.589641,4200.512718,4167.692206,4122.564002,4183.589641,0,2050,2043,0,0,2428,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,4175.897334,4246.666563,4196.922974,4207.692205,4202.564,4198.974256,4213.846051,4182.564,4185.640923,4189.230667,4202.051179,4167.692206,4129.743489,4182.564,0,2049,2043,0,0,2428,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,4185.128103,4249.743486,4201.025538,4219.999897,4203.589641,4188.717846,4201.538359,4182.564,4186.666564,4198.461436,4203.07682,4173.333231,4139.999899,4184.102462,0,2048,2043,0,0,2428,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,4195.384513,4249.230665,4200.512718,4219.487076,4204.615282,4188.205026,4203.07682,4182.05118,4186.666564,4192.82041,4201.538359,4180.512718,4140.512719,4186.666564,0,2050,2041,0,0,2428,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
