COUNTER,INTERPOL RAW_CQ,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,,,,,,,,,,,,,,,,,,,,,,,
2,0,3956.41016,4545.640914,3922.051186,4216.410153,4162.564001,4541.53835,4559.999888,4647.179374,3943.076827,4233.33323,4045.640927,4086.666567,4382.051175,4714.358859,462,1684,1694,0,0,13376,373,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
2,0,4002.564005,4579.487068,3921.025545,4216.922974,4203.07682,4544.615273,4567.179375,4648.717835,3949.230673,4250.769127,4066.153747,4086.666567,4279.487075,4766.66655,462,1682,1693,0,0,13377,387,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
2,0,4013.333235,4570.256298,3927.692212,4215.897333,4197.948615,4540.512709,4582.05117,4642.563989,3943.076827,4252.820409,4053.333234,4091.281951,4338.461432,4746.666551,462,1684,1695,0,0,13378,406,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
2,0,4052.820414,4615.384503,3927.179391,4215.897333,4231.281948,4539.999889,4612.30758,4646.153733,3954.358878,4284.102459,4087.692208,4099.9999,4409.743482,4814.871677,462,1683,1693,0,0,13379,377,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
3,0,4163.076821,4649.743476,3921.025545,4216.410153,4033.846055,4544.615273,4517.435787,4642.563989,3926.666571,4182.564,3966.66657,4071.281952,4578.461427,4868.71783,459,1686,1694,0,0,13369,323,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4
3,0,4012.820415,4512.820402,3915.89734,4215.897333,4102.051182,4550.256299,4509.230659,4640.512707,3913.846058,4136.922976,3964.102467,4070.769131,4341.538355,4745.128089,462,1684,1690,0,0,13370,351,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
3,0,3997.94862,4574.358863,3920.512725,4217.948615,4146.666565,4544.102453,4575.384504,4647.692194,3921.538366,4207.692205,4039.999901,4076.410157,4399.999892,4768.205012,457,1682,1693,0,0,13371,352,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
3,0,3957.948621,4508.205018,3922.051186,4216.410153,4141.53836,4541.02553,4525.640915,4638.974246,3933.333237,4154.871693,3992.820415,4082.051182,4370.769124,4751.794756,457,1684,1694,0,0,13372,319,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
3,0,3961.025544,4563.076811,3925.64093,4216.922974,4173.846052,4544.102453,4562.563991,4644.615271,3931.794776,4219.999897,4003.589646,4079.48708,4392.820405,4717.948603,462,1683,1692,0,0,13373,372,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
3,0,4021.025543,4544.615273,3924.615289,4215.897333,4172.30759,4542.563991,4557.948606,4644.102451,3937.948622,4206.666564,4009.743492,4080.512721,4394.871687,4702.051167,462,1683,1694,0,0,13374,336,4,4,0,0,4,0,4,0,1,4,4,0,4,4,4,4
